"entry_type","title","cdt_code","description"
"Procedure","periodic oral evaluation established patient",120,"An evaluation performed on a patient of record to determine any changes in the patients dental and medical health status since a previous comprehensive or periodic evaluation. This includes an oral cancer evaluation and periodontal screening where indicated, and may require interpretation of information acquired through additional diagnostic Procedures. Report additional diagnostic procedures separately."
"Procedure","limited oral evaluation problem focused",140,
"Procedure","oral evaluation for a patient under three years of age and counseling with primary caregiver",145,
"Procedure","comprehensive oral evaluation new or established patient",150,
"Procedure","detailed and extensive oral evaluation problem focused, by report",160,
"Procedure","re-evaluation limited, problem focused (established patient; not post-operative visit)",170,
"Procedure","re-evaluation",171,
"Procedure","comprehensive periodontal evaluation new or established patient",180,
"Procedure","screening of a patient",190,
"Procedure","assessment of a patient",191,
"Procedure","intraoral complete series of radiographic images",210,
"Procedure","intraoral periapical first radiographic image",220,
"Procedure","intraoral periapical each additional radiographic image",230,
"Procedure","intraoral occlusal radiographic image",240,
"Procedure","extra-oral 2D projection radiographic image created using a stationary radiation source, and detector",250,
"Procedure","extra-oral posterior dental radiographic image",251,
"Procedure","bitewing single radiographic image",270,
"Procedure","bitewings two radiographic images",272,
"Procedure","bitewings three radiographic images",273,
"Procedure","bitewings four radiographic images",274,
"Procedure","vertical bitewings 7 to 8 radiographic images (Diagnostic)",277,
"Procedure","posterior-anterior or lateral skull and facial bone survey radiographic image",290,
"Procedure","sialography",310,
"Procedure","temporomandibular joint arthrogram, including injection",320,
"Procedure","other temporomandibular joint radiographic images, by report",321,
"Procedure","tomographic survey",322,
"Procedure","panoramic radiographic image",330,
"Procedure","2D cephalometric radiographic image _ acquisition, measurement and analysis",340,"Image of the head made using a cephalostat to stand- ardize anatomic positioning, and with reproducible x-ray beam geometry."
"Procedure","2D oral/facial photographic image obtained intraorally or extra-orally",350,
"Procedure","3D photographic image",351,
"Procedure","cone beam CT capture and interpretation with limited field of view less than one whole jaw",364,
"Procedure","cone beam CT capture and interpretation with field of view of one full dental arch mandible",365,
"Procedure","cone beam CT capture and interpretation with field of view of one full dental arch maxilla, with or without cranium",366,
"Procedure","cone beam CT capture and interpretation with field of view of both jaws; with or without cranium",367,
"Procedure","cone beam CT capture and interpretation for TMJseries including two or more exposures",368,
"Procedure","maxillofacial MRI capture and interpretation",369,
"Procedure","sialoendoscopy capture and interpretation",371,
"Procedure","cone beam CT image capture with limited field of view less than one whole jaw",380,
"Procedure","cone beam CT image capture with field of view of one full dental arch mandible",381,
"Procedure","cone beam CT image capture with field of view of one full dental arch maxilla, with or without cranium",382,
"Procedure","cone beam CT image capture with field of view of both jaws, with or without cranium",383,
"Procedure","cone beam CT image capture for TMJ series including two or more exposures",384,
"Procedure","maxillofacial MRI image capture",385,
"Procedure","maxillofacial ultrasound image capture",386,
"Procedure","interpretation of diagnostic image by a practitioner not associated with capture of the image, including report",391,
"Procedure","treatment simulation using 3D image volume",393,
"Procedure","digital subtraction of two or more images or image volumes of the same modality",394,
"Procedure","fusion of two or more 3D image volumes of one or more modalities",395,
"Procedure","collection of microorganisms for culture and sensitivity",415,
"Procedure","viral culture",416,
"Procedure","collection and preparation of saliva sample for laboratory diagnostic testing",417,
"Procedure","analysis of saliva sample",418,
"Procedure","collection and preparation of genetic sample material for laboratory analysis and report",422,
"Procedure","genetic test for susceptibility to diseases specimen analysis",423,
"Procedure","caries susceptibility test",425,
"Procedure","adjunctive pre-diagnostic test that aids in detection of mucosal abnormalities including premalignant and malignant lesions, not to include cytology or biopsy procedures",431,
"Procedure","pulp vitality tests",460,
"Procedure","diagnostic casts",470,
"Procedure","accession of tissue, gross examination, preparation and transmission of written report",472,
"Procedure","accession of tissue, gross and microscopic examination, preparation and transmission of written report",473,
"Procedure","accession of tissue, gross and microscopic examination, including assessment of surgical margins for presence of disease, preparation and transmission of written report",474,
"Procedure","decalcification procedure",475,
"Procedure","special stains for microorganisms",476,
"Procedure","special stains, not for microorganisms",477,
"Procedure","immunohistochemical stains",478,
"Procedure","tissue in-situ hybridization, including interpretation",479,
"Procedure","accession of exfoliative cytologic smears, microscopic examination, preparation and transmission of written report",480,
"Procedure","electron microscopy",481,
"Procedure","direct immunofluorescence",482,
"Procedure","indirect immunofluorescence",483,
"Procedure","consultation on slides prepared elsewhere",484,
"Procedure","consultation, including preparation of slides from biopsy material supplied by referring source",485,
"Procedure","laboratory accession of transepithelial cytologic sample, microscopic examination, preparation and transmission of written report",486,
"Procedure","other oral pathology procedures, by report",502,
"Procedure","caries risk assessment and documentation, with a finding of low risk",601,
"Procedure","caries risk assessment and documentation, with a finding of moderate risk",602,
"Procedure","caries risk assessment and documentation, with a finding of high risk",603,
"Procedure","unspecified diagnostic procedure, by reportUsed for procedure that is not adequately described by a code. Describe procedure.",999,
"Procedure","prophylaxis adult",1110,"Removal of plaque, calculus, and stains from tooth structures and implants in the permanent and transitional dentition. It is intended to control local irritational factors."
"Procedure","prophylaxis child",1120,"Removal of plaque, calculus and stains from tooth structures and implants in the primary and transitional dentition. It is intended to control local irritational factors."
"Procedure","topical application of fluoride varnish",1206,
"Procedure","topical application of fluoride excluding varnish",1208,
"Procedure","nutritional counseling for control of dental disease",1310,
"Procedure","tobacco counseling for the control and prevention of oral disease",1320,
"Procedure","oral hygiene instructions",1330,
"Procedure","sealant per tooth",1351,
"Procedure","preventive resin restoration in a moderate to high caries risk patient permanent tooth",1352,
"Procedure","sealant repair per tooth",1353,
"Procedure","interim caries arresting medicament application",1354,"Interim caries arresting medicament application—per tooth is clarified [revised 2018]"
"Procedure","space maintainer – fixed, unilateral – per quadrant. Excludes a distal shoe space maintainer.",1510,
"Procedure","space maintainer fixed bilateral",1515,"[This code was deleted in 2019.]"
"Procedure","space maintainer – removable, – unilateral – per quadrant",1520,
"Procedure","space maintainer removable bilateral",1525,"[This code was deleted in 2019.]"
"Procedure","re-cement or re-bond space maintainer",1550,
"Procedure","removal of fixed space maintainer",1555,"[This code was deleted in 2020.]"
"Procedure","unspecified preventive procedure, by report",1999,
"Procedure","amalgam one surface, primary or permanent",2140,
"Procedure","amalgam two surfaces, primary or permanent",2150,
"Procedure","amalgam three surfaces, primary or permanent",2160,
"Procedure","amalgam four or more surfaces, primary orpermanent",2161,
"Procedure","resin-based composite one surface, anterior",2330,
"Procedure","resin-based composite two surfaces, anterior",2331,
"Procedure","resin-based composite three surfaces, anterior",2332,
"Procedure","resin-based composite four or more surfaces or involving incisal angle (anterior)",2335,
"Procedure","resin-based composite crown, anterior",2390,
"Procedure","resin-based composite one surface, posterior",2391,
"Procedure","resin-based composite two surfaces, posterior",2392,
"Procedure","resin-based composite three surfaces, posterior",2393,
"Procedure","resin-based composite four or more surfaces,posterio",2394,
"Procedure","gold foil one surface",2410,
"Procedure","gold foil two surfaces",2420,
"Procedure","gold foil three surfaces",2430,
"Procedure","inlay metallic one surface",2510,
"Procedure","inlay metallic two surfaces",2520,
"Procedure","inlay metallic three or more surfaces",2530,
"Procedure","onlay metallic two surfaces",2542,
"Procedure","onlay metallic three surfaces",2543,
"Procedure","onlay metallic four or more surfaces",2544,
"Procedure","inlay porcelain/ceramic one surface",2610,
"Procedure","inlay porcelain/ceramic two surfaces",2620,
"Procedure","inlay porcelain/ceramic three or more surfaces",2630,
"Procedure","onlay porcelain/ceramic two surfaces",2642,
"Procedure","onlay porcelain/ceramic three surfaces",2643,
"Procedure","onlay porcelain/ceramic four or more surfaces",2644,
"Procedure","inlay resin-based composite one surface",2650,
"Procedure","inlay resin-based composite two surfaces",2651,
"Procedure","inlay resin-based composite three or moresurfaces",2652,
"Procedure","onlay resin-based composite two surfaces",2662,
"Procedure","onlay resin-based composite three surfaces",2663,
"Procedure","onlay resin-based composite four or more surfaces",2664,
"Procedure","crown resin-based composite (indirect)",2710,
"Procedure","crown _ resin-based composite (indirect)",2712,
"Procedure","crown resin with high noble metal",2720,
"Procedure","crown resin with predominantly base metal",2721,
"Procedure","crown resin with noble metal",2722,
"Procedure","crown porcelain/ceramic substrate",2740,"Crown—porcelain/ceramic substrate—removed “substrate.” Clarifies this code is for all-ceramic and porcelain crowns (revised 2018)"
"Procedure","crown porcelain fused to high noble metal",2750,
"Procedure","crown porcelain fused to predominantly base metal",2751,
"Procedure","crown porcelain fused to noble metal",2752,
"Procedure","crown _ cast high noble metal",2780,
"Procedure","crown _ cast predominantly base metal",2781,
"Procedure","crown _ cast noble metal",2782,
"Procedure","crown _ porcelain/ceramic",2783,
"Procedure","crown full cast high noble metal",2790,
"Procedure","crown full cast predominantly base metal",2791,
"Procedure","crown full cast noble metal",2792,
"Procedure","crown titanium",2794,
"Procedure","provisional crown further treatment or completion of diagnosis necessary prior to final impression",2799,
"Procedure","re-cement or re-bond inlay, onlay, veneer or partial coverage restoration",2910,
"Procedure","re-cement or re-bond indirectly fabricated or prefabricated post and core",2915,
"Procedure","re-cement or re-bond crown",2920,
"Procedure","reattachment of tooth fragment, incisal edge or cusp",2921,
"Procedure","prefabricated porcelain/ceramic crown primary tooth",2929,
"Procedure","prefabricated stainless steel crown primary tooth",2930,
"Procedure","prefabricated stainless steel crown permanent tooth",2931,
"Procedure","prefabricated resin crown",2932,
"Procedure","prefabricated stainless steel crown with resin window",2933,
"Procedure","prefabricated esthetic coated stainless steel crown primary tooth",2934,
"Procedure","protective restoration",2940,
"Procedure","interim therapeutic restoration primary dentition",2941,
"Procedure","restorative foundation for an indirect restoration",2949,
"Procedure","core buildup, including any pins when required",2950,
"Procedure","pin retention per tooth, in addition to restoration",2951,
"Procedure","post and core in addition to crown, indirectly fabricated",2952,
"Procedure","each additional indirectly fabricated post same tooth",2953,
"Procedure","prefabricated post and core in addition to crown",2954,
"Procedure","post removal",2955,
"Procedure","each additional prefabricated post sametooth",2957,
"Procedure","labial veneer (resin laminate) chairside",2960,
"Procedure","labial veneer (resin laminate) laboratory",2961,
"Procedure","labial veneer (porcelain laminate) laboratory",2962,
"Procedure","additional procedures to construct new crown under existing partial denture framework",2971,
"Procedure","coping",2975,
"Procedure","crown repair necessitated by restorative material failure",2980,
"Procedure","inlay repair necessitated by restorative material failure",2981,
"Procedure","onlay repair necessitated by restorative material failure",2982,
"Procedure","veneer repair necessitated by restorative material failure",2983,
"Procedure","vertical bitewings 7 to 8 radiographic images (Restorative)",2990,
"Procedure","unspecified restorative procedure, by report",2999,
"Procedure","pulp cap direct (excluding final restoration)",3110,
"Procedure","pulp cap indirect (excluding final restoration)",3120,
"Procedure","therapeutic pulpotomy (excluding final restoration) removal of pulp coronal to the dentinocemental junction and application of medicament",3220,
"Procedure","pulpal debridement, primary and permanent teeth",3221,
"Procedure","partial pulpotomy for apexogenesis permanent tooth with incomplete root development",3222,
"Procedure","pulpal therapy(resorbable filling) anterior, primary tooth (excluding final restoration)",3230,
"Procedure","pulpal therapy (resorbable filling) posterior, primary tooth (excluding final restoration)",3240,
"Procedure","endodontic therapy, anterior tooth (excluding final restoration)",3310,
"Procedure","endodontic therapy, bicuspid tooth (excluding final restoration)",3320,"Endodontic therapy, premolar tooth (excluding final restoration)—replaced “bicuspid” with “premolar” (Revised 2018)"
"Procedure","endodontic therapy, molar (excluding final restoration)",3330,"Endodontic therapy, molar tooth (excluding final restoration)—added the term “tooth” (Revised 2018)"
"Procedure","treatment of root canal obstruction; non-surgical access",3331,
"Procedure","incomplete endodontic therapy; inoperable, unrestorable or fractured tooth",3332,
"Procedure","internal root repair of perforation defects",3333,
"Procedure","retreatment of previous root canal therapy anterior",3346,
"Procedure","retreatment of previous root canal therapy bicuspid",3347,"Retreatment of previous root canal therapy—premolar— replaced “bicuspid” with “premolar” (Revised 2018)"
"Procedure","retreatment of previous root canal therapy molar",3348,
"Procedure","apexification/recalcification initial visit (apical closure/ calcific repair of perforations, root resorption, etc.)",3351,
"Procedure","apexification/recalcification interim medication replacement",3352,
"Procedure","apexification/recalcification final visit (includes completed root canal therapy apical closure/calcific repair of perforations, root resorption, etc.)",3353,
"Procedure","pulpal regeneration initial visit",3355,
"Procedure","pulpal regeneration interimmedication replacement",3356,
"Procedure","pulpal regeneration completion of treatment",3357,
"Procedure","apicoectomy anterior",3410,
"Procedure","apicoectomy bicuspid (first root)",3421,"Apicoectomy—bicuspid premolar (first root)—replaced “bicuspid” with “premolar” (Revised 2018)"
"Procedure","apicoectomymolar (first root)",3425,
"Procedure","apicoectomy (each additional root)",3426,"Apicoectomy—(each additional root)—replaced “bicuspid” with “premolar” (Revised 2018)"
"Procedure","periradicular surgery without apicoectomy",3427,"[This code was deleted in 2021.]"
"Procedure","bone graft in conjunction with periradicularsurgery per tooth, single site",3428,
"Procedure","bone graft in conjunction with periradicular surgery each additional contiguous tooth in the same surgical site",3429,
"Procedure","retrograde filling per root",3430,
"Procedure","biologic materials to aid in soft and osseous tissue regeneration in conjunction with periradicular surgery",3431,
"Procedure","guided tissue regeneration, resorbable barrier,per site, in conjunction with periradicular surgery",3432,
"Procedure","root amputation per root",3450,
"Procedure","endodontic endosseous implant",3460,
"Procedure","intentional re-implantation (including necessary splinting)For the intentional removal, inspection and treatment of the root and replacement of a tooth into its own socket. This does not include necessary retrograde filling material placement.",3470,
"Procedure","surgical procedure for isolation of tooth with rubber dam",3910,
"Procedure","hemisection (including any root removal), not including root canal therapy",3920,
"Procedure","canal preparation and fitting of preformed dowel or post",3950,
"Procedure","unspecified endodontic procedure, by report",3999,
"Procedure","gingivectomy or gingivoplasty four or more contiguous teeth or tooth bounded spaces per quadrant",4210,
"Procedure","gingivectomy or gingivoplasty one to three contiguous teeth or tooth bounded spaces per quadrant",4211,
"Procedure","gingivectomy or gingivoplasty to allow access for restorative procedure, per tooth",4212,
"Procedure","anatomical crown exposure four or more contiguous teeth per quadrant",4230,"Revised 2018: Anatomical crown exposure—four or more contiguous teeth or bounded tooth spaces per quadrant"
